Quality_assessment	SampleType	MAG_ID	n_contigs	Total_length	L50	N50	Largest_contig	Average_GC	Completeness	Contamination	Quality_score	Genome_Coverage
High-quality	Rumen	ruminal_MAG_136	143	3782882	12	100508	344854	0.5566	97.9	1.19	91.95	43x
High-quality	Rumen	ruminal_MAG_137	561	2946838	151	6054	34414	0.45719	85.52	2.72	71.92	8x
High-quality	Rumen	ruminal_MAG_138	33	2166833	6	149302	245239	0.37544	96.34	0	96.34	11x
High-quality	Rumen	ruminal_MAG_139	117	2837364	22	38783	229735	0.53365	86.73	1.1	81.23	24x
High-quality	Rumen	ruminal_MAG_14	330	1784610	93	6387	24485	0.57169	81.17	2.29	69.72	4x
High-quality	Rumen	ruminal_MAG_140	347	3528341	72	14877	79568	0.52917	91.04	1.51	83.49	11x
High-quality	Rumen	ruminal_MAG_141	93	2133444	19	44218	83440	0.61309	90.37	2.14	79.67	15x
High-quality	Rumen	ruminal_MAG_142	72	2599941	10	85920	241678	0.45255	92.86	4.62	69.76	26x
High-quality	Rumen	ruminal_MAG_143	71	1639108	7	48798	302320	0.36399	92.31	2.53	79.66	14x
High-quality	Rumen	ruminal_MAG_144	305	2273696	62	11141	54597	0.36154	89.5	3.2	73.5	7x
High-quality	Rumen	ruminal_MAG_145	373	2920725	88	9740	79917	0.63681	89.98	3.83	70.83	10x
High-quality	Rumen	ruminal_MAG_146	121	2866245	22	38518	224908	0.50606	94.35	0	94.35	12x
High-quality	Rumen	ruminal_MAG_147	277	1603643	69	7141	31766	0.58413	86.8	1.88	77.4	2x
High-quality	Rumen	ruminal_MAG_148	235	2968845	49	20203	53447	0.57134	93.24	2.36	81.44	9x
High-quality	Rumen	ruminal_MAG_149	4	1481670	2	347496	712624	0.34284	88.51	0	88.51	31x
High-quality	Rumen	ruminal_MAG_15	453	2084160	99	6199	42334	0.5149	91.88	5.79	62.93	8x
High-quality	Rumen	ruminal_MAG_150	607	1917855	153	3831	14469	0.44215	85.82	3.8	66.82	4x
High-quality	Rumen	ruminal_MAG_151	730	2753193	194	4564	29187	0.48929	80.04	1.68	71.64	7x
High-quality	Rumen	ruminal_MAG_152	353	2038121	89	7050	46060	0.47863	84.59	2.48	72.19	5x
High-quality	Rumen	ruminal_MAG_153	604	2063630	148	4187	19712	0.44714	90.94	3.83	71.79	4x
High-quality	Rumen	ruminal_MAG_154	323	2978815	72	13332	68336	0.47643	92.7	1.34	86	13x
High-quality	Rumen	ruminal_MAG_155	235	2392645	47	15176	95148	0.55807	89.69	1.34	82.99	13x
High-quality	Rumen	ruminal_MAG_156	88	3259914	16	71349	241468	0.51519	94.64	1.68	86.24	21x
High-quality	Rumen	ruminal_MAG_157	53	2564217	10	88632	224182	0.53212	96.27	0.48	93.87	18x
High-quality	Rumen	ruminal_MAG_158	70	2443299	12	61950	192224	0.55461	90.57	0	90.57	16x
High-quality	Rumen	ruminal_MAG_159	252	1739899	59	8490	65419	0.58151	87.92	2.35	76.17	3x
High-quality	Rumen	ruminal_MAG_16	462	1344859	81	3728	83214	0.36991	84.46	1.97	74.61	13x
High-quality	Rumen	ruminal_MAG_160	71	2199168	18	40262	121221	0.50637	95.97	1.88	86.57	15x
High-quality	Rumen	ruminal_MAG_161	894	3072734	241	4171	23934	0.62106	81.67	3.08	66.27	8x
High-quality	Rumen	ruminal_MAG_162	525	1982294	133	4614	17614	0.37688	84.55	2.46	72.25	5x
High-quality	Rumen	ruminal_MAG_163	532	2455739	135	5584	25473	0.4781	81.84	3.69	63.39	7x
High-quality	Rumen	ruminal_MAG_164	134	3189963	19	49474	150457	0.50563	96.13	3.23	79.98	35x
High-quality	Rumen	ruminal_MAG_165	116	961272	20	12736	44054	0.38103	84.97	1.1	79.47	35x
High-quality	Rumen	ruminal_MAG_166	50	2510255	7	111614	323243	0.49904	83.49	0.54	80.79	25x
High-quality	Rumen	ruminal_MAG_167	254	3192993	41	23038	71850	0.58626	91.04	3.15	75.29	22x
High-quality	Rumen	ruminal_MAG_168	275	2228590	53	11213	128658	0.42886	88.57	0.21	87.52	18x
High-quality	Rumen	ruminal_MAG_169	377	4379017	64	21014	93385	0.54147	81.71	5.26	55.41	12x
High-quality	Rumen	ruminal_MAG_17	361	2238339	80	8797	41246	0.49514	86.22	3.22	70.12	6x
High-quality	Rumen	ruminal_MAG_170	205	2296856	39	17183	110969	0.57452	82.63	1.72	74.03	23x
High-quality	Rumen	ruminal_MAG_171	349	2399957	85	8847	38325	0.54509	81.22	0.88	76.82	26x
High-quality	Rumen	ruminal_MAG_172	65	2348181	14	66169	149646	0.35808	94.17	4	74.17	23x
High-quality	Rumen	ruminal_MAG_173	319	1979754	83	7864	38406	0.33749	80.77	1.31	74.22	9x
High-quality	Rumen	ruminal_MAG_174	215	3135623	24	43527	175729	0.46782	97.18	6.88	62.78	76x
High-quality	Rumen	ruminal_MAG_175	314	3740457	42	26849	124870	0.48773	94.68	4.85	70.43	47x
High-quality	Rumen	ruminal_MAG_176	153	3111748	24	37114	119724	0.51882	98.71	2.4	86.71	29x
High-quality	Rumen	ruminal_MAG_177	166	2415130	30	25075	82747	0.5066	97.87	2.91	83.32	28x
High-quality	Rumen	ruminal_MAG_178	334	2741872	56	14779	58858	0.45908	94.94	3.52	77.34	22x
High-quality	Rumen	ruminal_MAG_179	234	1885003	27	18082	97466	0.31626	86.36	6.37	54.51	10x
High-quality	Rumen	ruminal_MAG_18	304	3003862	50	17436	60812	0.42955	93.6	0.85	89.35	42x
High-quality	Rumen	ruminal_MAG_180	286	1664734	70	7359	29772	0.58313	90.55	1.74	81.85	3x
High-quality	Rumen	ruminal_MAG_181	203	1528254	44	9564	51243	0.38412	84.12	3.33	67.47	8x
High-quality	Rumen	ruminal_MAG_182	257	3466636	56	18814	68210	0.45747	97.71	0.47	95.36	13x
High-quality	Rumen	ruminal_MAG_183	245	2218551	58	12549	44474	0.47472	91.68	0.1	91.18	11x
High-quality	Rumen	ruminal_MAG_184	283	3310047	55	19875	87899	0.48604	94.53	3.27	78.18	17x
High-quality	Rumen	ruminal_MAG_185	49	1508883	11	49217	106594	0.47953	95.51	0	95.51	16x
High-quality	Rumen	ruminal_MAG_186	288	1671098	75	6870	35255	0.54672	84.23	0.08	83.83	8x
High-quality	Rumen	ruminal_MAG_187	580	2161046	157	4378	24568	0.48673	85.97	3.24	69.77	8x
High-quality	Rumen	ruminal_MAG_188	495	3609009	92	11661	57112	0.50378	94.76	2.66	81.46	38x
High-quality	Rumen	ruminal_MAG_189	97	2757762	20	45278	119762	0.50713	97.92	0.63	94.77	16x
High-quality	Rumen	ruminal_MAG_19	238	3710991	29	36720	213192	0.51117	95.9	3.3	79.4	36x
High-quality	Rumen	ruminal_MAG_190	292	3465133	53	20931	96440	0.51968	94.51	5.17	68.66	11x
High-quality	Rumen	ruminal_MAG_191	9	1257609	2	318558	433702	0.37052	98.88	0	98.88	67x
High-quality	Rumen	ruminal_MAG_192	368	2955642	89	10096	41058	0.61762	94.3	4.03	74.15	6x
High-quality	Rumen	ruminal_MAG_193	91	3554353	15	82775	245174	0.39033	100	1.08	94.6	16x
High-quality	Rumen	ruminal_MAG_194	312	1898953	84	7442	27513	0.56894	80.7	2.86	66.4	5x
High-quality	Rumen	ruminal_MAG_195	335	1958271	82	7543	30812	0.53818	94.68	1.53	87.03	9x
High-quality	Rumen	ruminal_MAG_196	141	4115506	17	72712	218143	0.50796	94.72	0.72	91.12	83x
High-quality	Rumen	ruminal_MAG_197	99	2604918	11	64349	265868	0.60699	92.94	3.5	75.44	37x
High-quality	Rumen	ruminal_MAG_198	139	2585304	23	35307	113060	0.33593	91.15	3.6	73.15	17x
High-quality	Rumen	ruminal_MAG_199	237	2315234	41	16299	60755	0.52426	94.74	3.4	77.74	13x
High-quality	Rumen	ruminal_MAG_2	362	2000835	89	6754	33841	0.61775	85.41	2.15	74.66	8x
High-quality	Rumen	ruminal_MAG_20	297	4362622	47	25494	193865	0.52003	95.21	4.44	73.01	21x
High-quality	Rumen	ruminal_MAG_200	320	1732876	54	9013	40581	0.52458	86.91	2.12	76.31	9x
High-quality	Rumen	ruminal_MAG_201	267	3031671	52	17465	70253	0.45727	92.8	1.56	85	10x
High-quality	Rumen	ruminal_MAG_202	31	2777456	7	152725	300065	0.4606	96.1	0	96.1	19x
High-quality	Rumen	ruminal_MAG_203	93	2474167	21	37222	116344	0.48811	89.73	2.26	78.43	9x
High-quality	Rumen	ruminal_MAG_204	71	2350427	15	49886	152162	0.49876	95.39	2.69	81.94	13x
High-quality	Rumen	ruminal_MAG_205	125	2488325	28	25603	97977	0.33151	95.73	0.06	95.43	18x
High-quality	Rumen	ruminal_MAG_206	327	3506252	69	15571	61375	0.4584	96.03	2.14	85.33	11x
High-quality	Rumen	ruminal_MAG_207	53	2527628	12	67933	224384	0.52695	87.8	0.54	85.1	30x
High-quality	Rumen	ruminal_MAG_208	65	2576959	14	75086	117931	0.4781	91.25	1.3	84.75	18x
High-quality	Rumen	ruminal_MAG_209	165	4047014	37	34095	140870	0.42989	95.75	0.62	92.65	31x
High-quality	Rumen	ruminal_MAG_21	51	1540815	6	84053	237611	0.47977	97.5	0	97.5	18x
High-quality	Rumen	ruminal_MAG_210	322	2478344	72	10746	40188	0.61619	88.81	6.38	56.91	16x
High-quality	Rumen	ruminal_MAG_211	106	2455379	16	42665	187042	0.53256	98.1	0.24	96.9	22x
High-quality	Rumen	ruminal_MAG_212	232	4039496	51	25955	85219	0.51322	93.9	1.28	87.5	19x
High-quality	Rumen	ruminal_MAG_213	41	2168212	9	80653	223532	0.49143	83.89	0	83.89	125x
High-quality	Rumen	ruminal_MAG_214	296	2027180	80	8295	31884	0.50161	83.69	2.48	71.29	9x
High-quality	Rumen	ruminal_MAG_215	117	3236483	25	44348	117377	0.51436	87.36	0.14	86.66	27x
High-quality	Rumen	ruminal_MAG_216	19	1369113	4	125213	217967	0.46907	96.63	1.12	91.03	18x
High-quality	Rumen	ruminal_MAG_217	102	3446650	24	48594	175865	0.43558	95.69	0.86	91.39	42x
High-quality	Rumen	ruminal_MAG_218	116	2647326	24	36363	141111	0.51528	91.03	1.68	82.63	17x
High-quality	Rumen	ruminal_MAG_219	81	1725366	19	31633	79614	0.38046	84.57	4.8	60.57	13x
High-quality	Rumen	ruminal_MAG_22	285	2641792	46	16830	74485	0.52031	98.32	4.17	77.47	12x
High-quality	Rumen	ruminal_MAG_220	129	3895850	13	89575	225535	0.49034	95.08	0	95.08	25x
High-quality	Rumen	ruminal_MAG_221	324	3246381	81	13441	66547	0.47085	90.57	3.58	72.67	10x
High-quality	Rumen	ruminal_MAG_222	457	2875497	111	8356	45172	0.48829	85.11	2.17	74.26	10x
High-quality	Rumen	ruminal_MAG_223	122	3864275	17	86596	162818	0.47447	97.41	5.47	70.06	266x
High-quality	Rumen	ruminal_MAG_224	366	2306876	66	9564	51478	0.48673	84.1	2.47	71.75	38x
High-quality	Rumen	ruminal_MAG_225	282	3194613	45	21427	105121	0.58822	95.62	3.52	78.02	36x
High-quality	Rumen	ruminal_MAG_226	119	1493780	18	23900	86385	0.36728	98.27	4.27	76.92	19x
High-quality	Rumen	ruminal_MAG_227	201	1726159	41	11959	62913	0.5822	89.6	0.67	86.25	8x
High-quality	Rumen	ruminal_MAG_228	105	1867073	20	32082	76352	0.5037	93.1	1.43	85.95	15x
High-quality	Rumen	ruminal_MAG_229	78	1937341	14	42754	133664	0.33726	94.62	0	94.62	10x
High-quality	Rumen	ruminal_MAG_23	90	1866703	19	32872	90286	0.56534	91.91	3.41	74.86	12x
High-quality	Rumen	ruminal_MAG_230	68	1363509	14	33952	93992	0.45178	93.26	1.12	87.66	11x
High-quality	Rumen	ruminal_MAG_231	143	2398712	16	36387	233104	0.4089	99.33	0.67	95.98	50x
High-quality	Rumen	ruminal_MAG_232	149	2078416	31	22356	85394	0.47697	90.33	2.78	76.43	8x
High-quality	Rumen	ruminal_MAG_233	260	2960252	53	18221	54350	0.58945	100	3.38	83.1	11x
High-quality	Rumen	ruminal_MAG_234	201	2141812	34	17222	93005	0.36076	95.39	2.53	82.74	24x
High-quality	Rumen	ruminal_MAG_235	341	2926016	80	11415	61383	0.42734	89.97	3.16	74.17	8x
High-quality	Rumen	ruminal_MAG_236	594	2681788	122	6363	28021	0.5528	92.25	1.01	87.2	9x
High-quality	Rumen	ruminal_MAG_237	692	3422414	178	5916	34420	0.42549	89.12	2.99	74.17	10x
High-quality	Rumen	ruminal_MAG_238	608	2199721	131	4743	43271	0.49636	87.28	4.26	65.98	13x
High-quality	Rumen	ruminal_MAG_239	154	3049090	22	39795	179480	0.50299	91.77	3.24	75.57	25x
High-quality	Rumen	ruminal_MAG_24	106	2487984	25	37134	109002	0.51231	97.47	0.54	94.77	16x
High-quality	Rumen	ruminal_MAG_240	344	1709486	94	5432	38036	0.50194	87.89	1.73	79.24	8x
High-quality	Rumen	ruminal_MAG_241	408	2142516	88	6450	38846	0.50374	83.62	1.23	77.47	9x
High-quality	Rumen	ruminal_MAG_242	207	2042667	41	14354	58060	0.54589	90.56	3.35	73.81	10x
High-quality	Rumen	ruminal_MAG_243	142	3293303	22	41474	156271	0.43096	98.81	2.14	88.11	14x
High-quality	Rumen	ruminal_MAG_244	66	1318615	12	33816	85865	0.41262	96.77	0	96.77	13x
High-quality	Rumen	ruminal_MAG_245	408	2207992	107	6481	29077	0.47655	85.35	2.8	71.35	9x
High-quality	Rumen	ruminal_MAG_246	119	2376491	12	57070	232553	0.49326	92.74	1.31	86.19	35x
High-quality	Rumen	ruminal_MAG_247	717	3472620	144	6799	42717	0.51799	81.1	2.89	66.65	35x
High-quality	Rumen	ruminal_MAG_248	22	2193739	6	158034	255618	0.37411	97.85	0	97.85	16x
High-quality	Rumen	ruminal_MAG_249	178	3205393	32	27495	128980	0.6116	94.97	1.57	87.12	16x
High-quality	Rumen	ruminal_MAG_25	222	2162631	42	14633	65378	0.33923	93.39	3.04	78.19	35x
High-quality	Rumen	ruminal_MAG_250	94	2493957	15	59711	132657	0.48706	97.94	0.49	95.49	27x
High-quality	Rumen	ruminal_MAG_251	198	1947335	48	12642	38416	0.47839	88.94	1.83	79.79	23x
High-quality	Rumen	ruminal_MAG_252	132	2210183	27	25387	89516	0.56579	89.68	3.73	71.03	10x
High-quality	Rumen	ruminal_MAG_253	31	1370872	7	60432	132245	0.39803	98.92	0	98.92	24x
High-quality	Rumen	ruminal_MAG_254	173	2167912	37	19666	58636	0.43632	93.57	1.39	86.62	16x
High-quality	Rumen	ruminal_MAG_255	20	2425124	5	218464	331382	0.52267	96.02	0.54	93.32	41x
High-quality	Rumen	ruminal_MAG_256	90	3350611	15	67679	208454	0.48967	97.58	0.02	97.48	33x
High-quality	Rumen	ruminal_MAG_257	37	2660915	8	105187	385082	0.60749	86.7	0	86.7	43x
High-quality	Rumen	ruminal_MAG_258	324	3035685	79	12196	48905	0.59649	91.55	1.76	82.75	11x
High-quality	Rumen	ruminal_MAG_259	502	1665622	126	3939	34198	0.32184	80.65	3.94	60.95	6x
High-quality	Rumen	ruminal_MAG_26	28	3033893	8	143258	310975	0.42179	95.71	1.12	90.11	23x
High-quality	Rumen	ruminal_MAG_260	536	2195236	134	5008	33220	0.49251	80.28	3.55	62.53	4x
High-quality	Rumen	ruminal_MAG_261	59	2646652	5	180596	372575	0.47689	89.62	2.91	75.07	29x
High-quality	Rumen	ruminal_MAG_262	437	5876429	42	39412	203685	0.43027	96.33	8.74	52.63	27x
High-quality	Rumen	ruminal_MAG_263	123	2786310	14	62226	216787	0.49281	97.52	1.88	88.12	19x
High-quality	Rumen	ruminal_MAG_264	235	2218342	48	13518	55820	0.5538	89.75	0.67	86.4	8x
High-quality	Rumen	ruminal_MAG_265	64	1007646	10	33350	89494	0.36079	84.17	1.12	78.57	29x
High-quality	Rumen	ruminal_MAG_266	44	2542886	7	147282	324313	0.56841	97.42	0.81	93.37	28x
High-quality	Rumen	ruminal_MAG_267	162	3306101	20	44683	174632	0.49633	88.1	3.76	69.3	25x
High-quality	Rumen	ruminal_MAG_268	145	3199361	14	71921	201349	0.49041	97.07	3.44	79.87	16x
High-quality	Rumen	ruminal_MAG_269	138	2311708	15	43466	180770	0.52546	93.55	3.61	75.5	17x
High-quality	Rumen	ruminal_MAG_27	22	873465	5	74809	110949	0.36452	87.28	1.1	81.78	25x
High-quality	Rumen	ruminal_MAG_270	39	2504227	7	113650	318755	0.60624	96.41	0	96.41	30x
High-quality	Rumen	ruminal_MAG_271	318	2728873	66	12314	68473	0.30673	91.67	1.28	85.27	13x
High-quality	Rumen	ruminal_MAG_272	275	2783288	56	16116	48837	0.52052	87.94	1.77	79.09	11x
High-quality	Rumen	ruminal_MAG_273	128	2348472	22	34033	119003	0.47867	97.81	4.14	77.11	10x
High-quality	Rumen	ruminal_MAG_274	41	1875784	7	80992	273646	0.3212	96.8	2.08	86.4	15x
High-quality	Rumen	ruminal_MAG_275	109	1976266	22	28643	104400	0.47971	88.19	0.37	86.34	19x
High-quality	Rumen	ruminal_MAG_276	73	2817504	16	61816	162945	0.48644	91.64	1.2	85.64	24x
High-quality	Rumen	ruminal_MAG_277	506	3000771	131	7304	33356	0.54546	83.79	3.04	68.59	9x
High-quality	Rumen	ruminal_MAG_278	128	2845293	19	48373	149474	0.34317	94.77	4.8	70.77	21x
High-quality	Rumen	ruminal_MAG_279	313	2705258	68	11836	50741	0.54472	85.24	0.88	80.84	15x
High-quality	Rumen	ruminal_MAG_28	105	2437709	23	34213	120522	0.60119	89.12	4.53	66.47	15x
High-quality	Rumen	ruminal_MAG_280	540	2223789	136	5002	32222	0.56186	86.4	5.98	56.5	4x
High-quality	Rumen	ruminal_MAG_281	97	3679892	14	69055	210150	0.5088	98.9	0.55	96.15	130x
High-quality	Rumen	ruminal_MAG_282	147	3109693	25	48398	100471	0.54109	92.15	5.54	64.45	98x
High-quality	Rumen	ruminal_MAG_283	327	3199487	40	24547	80564	0.54309	87.89	6.41	55.84	14x
High-quality	Rumen	ruminal_MAG_284	139	1799796	32	18542	68629	0.51367	84.89	1.08	79.49	16x
High-quality	Rumen	ruminal_MAG_285	28	2380679	6	147115	330999	0.44839	97.04	0	97.04	50x
High-quality	Rumen	ruminal_MAG_286	1038	3378296	265	3772	35010	0.40504	85.35	2.32	73.75	13x
High-quality	Rumen	ruminal_MAG_287	605	2377815	157	4859	25302	0.45472	84.87	1.68	76.47	8x
High-quality	Rumen	ruminal_MAG_288	502	1584597	133	3715	38209	0.60774	82.51	1.17	76.66	5x
High-quality	Rumen	ruminal_MAG_289	290	1866762	64	8633	44675	0.61516	86.58	2.39	74.63	10x
High-quality	Rumen	ruminal_MAG_29	831	3336334	181	5366	57665	0.5171	89.49	6.32	57.89	46x
High-quality	Rumen	ruminal_MAG_290	161	2660483	36	25928	81690	0.60714	89.64	3.27	73.29	14x
High-quality	Rumen	ruminal_MAG_291	64	2308952	11	79012	150731	0.4341	98.66	0.54	95.96	12x
High-quality	Rumen	ruminal_MAG_292	50	1686989	10	51211	143645	0.56118	87.06	0.49	84.61	14x
High-quality	Rumen	ruminal_MAG_293	94	2702111	17	54856	107047	0.47868	95.04	0.93	90.39	28x
High-quality	Rumen	ruminal_MAG_294	352	2377330	87	9053	29160	0.4952	93.77	5.03	68.62	12x
High-quality	Rumen	ruminal_MAG_295	173	2394165	34	24153	80170	0.52955	82.08	3.76	63.28	23x
High-quality	Rumen	ruminal_MAG_296	491	2474278	126	6287	25005	0.50171	88.01	1.9	78.51	8x
High-quality	Rumen	ruminal_MAG_297	244	4105778	28	38552	216078	0.50703	92.58	2.64	79.38	115x
High-quality	Rumen	ruminal_MAG_298	189	3244740	21	49711	134436	0.5394	89.48	4.15	68.73	40x
High-quality	Rumen	ruminal_MAG_299	188	3246532	24	41441	141222	0.46416	90.46	3.73	71.81	31x
High-quality	Rumen	ruminal_MAG_3	442	3166690	100	9378	39493	0.52175	91.83	2.57	78.98	10x
High-quality	Rumen	ruminal_MAG_30	352	3028645	49	15667	113160	0.43653	92.95	5.69	64.5	32x
High-quality	Rumen	ruminal_MAG_300	109	2406501	16	41101	212411	0.60907	89.93	1.01	84.88	23x
High-quality	Rumen	ruminal_MAG_301	284	1880725	62	9602	59668	0.51776	88.57	1.55	80.82	10x
High-quality	Rumen	ruminal_MAG_302	96	760117	4	56954	122684	0.27807	80.09	0.88	75.69	15x
High-quality	Rumen	ruminal_MAG_303	147	2414057	20	39390	104520	0.49292	97.41	3.02	82.31	12x
High-quality	Rumen	ruminal_MAG_304	770	2070321	205	3076	25177	0.49869	81.69	5.46	54.39	3x
High-quality	Rumen	ruminal_MAG_305	349	2634988	83	9776	107487	0.48972	85.8	3.28	69.4	8x
High-quality	Rumen	ruminal_MAG_306	241	2387838	59	13980	58855	0.53348	93.27	1.33	86.62	10x
High-quality	Rumen	ruminal_MAG_307	146	3382465	22	48336	233928	0.53408	95.32	8.24	54.12	17x
High-quality	Rumen	ruminal_MAG_308	182	3492760	33	35213	199032	0.51644	90.02	3.28	73.62	18x
High-quality	Rumen	ruminal_MAG_309	144	3299076	26	35927	150167	0.59119	87.9	2.9	73.4	15x
High-quality	Rumen	ruminal_MAG_31	98	1901317	16	38259	92464	0.49876	84.28	2.63	71.13	27x
High-quality	Rumen	ruminal_MAG_310	23	2410103	6	162281	337190	0.52325	97.58	1.08	92.18	25x
High-quality	Rumen	ruminal_MAG_311	39	1898251	8	65251	238347	0.50069	92.14	0.24	90.94	17x
High-quality	Rumen	ruminal_MAG_312	93	3604342	17	67584	183320	0.39983	99.46	0.54	96.76	25x
High-quality	Rumen	ruminal_MAG_313	210	2021241	52	12769	35964	0.57785	93.29	1.57	85.44	5x
High-quality	Rumen	ruminal_MAG_314	46	2241628	11	78608	132797	0.37539	97.85	0	97.85	20x
High-quality	Rumen	ruminal_MAG_315	86	2551172	8	99401	225624	0.48968	89.52	1.61	81.47	15x
High-quality	Rumen	ruminal_MAG_316	335	2907518	69	12767	48697	0.60151	92.47	3	77.47	10x
High-quality	Rumen	ruminal_MAG_317	15	1319017	3	177744	332294	0.33596	98.31	0.05	98.06	39x
High-quality	Rumen	ruminal_MAG_318	189	2314208	39	17945	55900	0.3296	95.4	0.8	91.4	11x
High-quality	Rumen	ruminal_MAG_319	268	2341641	63	12550	33850	0.53049	81.55	2.84	67.35	9x
High-quality	Rumen	ruminal_MAG_32	366	4392830	50	25159	147188	0.39033	95.97	8.31	54.42	26x
High-quality	Rumen	ruminal_MAG_320	325	1615886	68	7196	28975	0.49338	87.08	2.01	77.03	10x
High-quality	Rumen	ruminal_MAG_321	567	2844056	147	6239	29937	0.48816	88.24	2.82	74.14	6x
High-quality	Rumen	ruminal_MAG_322	488	2274033	111	6347	21109	0.49588	84.45	4.43	62.3	7x
High-quality	Rumen	ruminal_MAG_323	444	1276033	125	3439	11518	0.39998	81.66	0.06	81.36	7x
High-quality	Rumen	ruminal_MAG_324	509	1645765	142	3737	13476	0.58138	84.6	0.35	82.85	2x
High-quality	Rumen	ruminal_MAG_325	1089	3345271	289	3701	44708	0.42654	84.91	3.22	68.81	8x
High-quality	Rumen	ruminal_MAG_326	32	2348459	8	102765	269186	0.52387	96.51	0.54	93.81	16x
High-quality	Rumen	ruminal_MAG_327	227	1803234	54	10882	39978	0.50441	85.16	0.71	81.61	8x
High-quality	Rumen	ruminal_MAG_328	61	2462075	15	47876	157907	0.47026	96.83	0.58	93.93	100x
High-quality	Rumen	ruminal_MAG_329	134	3668852	17	72954	205938	0.49785	99.05	0	99.05	27x
High-quality	Rumen	ruminal_MAG_33	227	2395247	45	17416	55383	0.4728	97.52	1.33	90.87	21x
High-quality	Rumen	ruminal_MAG_330	613	3816832	155	7613	28722	0.60299	82.79	3.7	64.29	11x
High-quality	Rumen	ruminal_MAG_331	58	1911020	13	48417	119340	0.35634	94.87	0.4	92.87	17x
High-quality	Rumen	ruminal_MAG_332	169	2814984	29	26806	92709	0.46568	97.54	2.6	84.54	12x
High-quality	Rumen	ruminal_MAG_333	205	2877717	39	22808	115764	0.47588	96.76	2.01	86.71	12x
High-quality	Rumen	ruminal_MAG_334	415	3141271	95	10767	32329	0.54657	91.26	4.52	68.66	7x
High-quality	Rumen	ruminal_MAG_335	358	2746036	87	10562	37576	0.46857	91.16	0.71	87.61	8x
High-quality	Rumen	ruminal_MAG_336	74	2324409	19	39830	143215	0.50317	98.12	1.88	88.72	21x
High-quality	Rumen	ruminal_MAG_337	731	1753985	195	2772	10427	0.32562	84.67	5.97	54.82	5x
High-quality	Rumen	ruminal_MAG_338	114	3168525	23	43267	242259	0.5032	84.28	1.67	75.93	14x
High-quality	Rumen	ruminal_MAG_339	791	1986569	220	2881	14064	0.50055	83.23	4.12	62.63	2x
High-quality	Rumen	ruminal_MAG_34	163	2457406	17	45674	154309	0.3739	96.88	2.24	85.68	10x
High-quality	Rumen	ruminal_MAG_340	77	1929986	15	34506	108084	0.4968	87.54	0.54	84.84	11x
High-quality	Rumen	ruminal_MAG_341	223	3143517	44	22104	73628	0.42335	96.27	2.62	83.17	10x
High-quality	Rumen	ruminal_MAG_342	270	2300264	66	10913	50447	0.60681	81.43	1.34	74.73	9x
High-quality	Rumen	ruminal_MAG_343	207	2183392	41	14568	121442	0.37619	93.44	0.72	89.84	5x
High-quality	Rumen	ruminal_MAG_344	340	1441514	78	4798	64802	0.47405	81.09	0	81.09	6x
High-quality	Rumen	ruminal_MAG_345	89	3171126	8	147145	342834	0.49492	97.47	1.25	91.22	37x
High-quality	Rumen	ruminal_MAG_346	137	4050718	18	70547	245845	0.48649	98.9	2.56	86.1	18x
High-quality	Rumen	ruminal_MAG_347	79	2878937	15	65375	152471	0.56372	96.71	0.6	93.71	14x
High-quality	Rumen	ruminal_MAG_348	671	1956119	181	3455	11696	0.57461	81.41	2.38	69.51	6x
High-quality	Rumen	ruminal_MAG_349	138	2535394	19	44467	107895	0.56778	97.85	0.54	95.15	22x
High-quality	Rumen	ruminal_MAG_35	90	3223883	16	59352	180005	0.49812	95.89	0	95.89	20x
High-quality	Rumen	ruminal_MAG_350	162	2967847	35	23627	100814	0.52379	93.76	1.38	86.86	11x
High-quality	Rumen	ruminal_MAG_351	101	2105874	21	31871	105416	0.36586	90.39	0	90.39	13x
High-quality	Rumen	ruminal_MAG_352	107	3365004	18	54078	185438	0.51993	92.74	2.15	81.99	14x
High-quality	Rumen	ruminal_MAG_353	207	2560724	49	16455	74794	0.53577	85.93	0	85.93	9x
High-quality	Rumen	ruminal_MAG_354	107	3094635	20	44017	199943	0.50507	93.82	3.66	75.52	17x
High-quality	Rumen	ruminal_MAG_355	133	2446103	16	45793	137959	0.41757	99.33	0.67	95.98	22x
High-quality	Rumen	ruminal_MAG_356	13	2416395	3	258439	697468	0.44921	97.04	0	97.04	92x
High-quality	Rumen	ruminal_MAG_357	147	3301580	25	42883	188492	0.50275	91.14	2.4	79.14	14x
High-quality	Rumen	ruminal_MAG_358	426	2350309	83	7846	38293	0.44454	93.96	0.81	89.91	6x
High-quality	Rumen	ruminal_MAG_359	684	2104632	177	3848	17101	0.53789	83.97	3.05	68.72	6x
High-quality	Rumen	ruminal_MAG_36	22	2489951	7	149930	237146	0.49264	99.41	0.35	97.66	43x
High-quality	Rumen	ruminal_MAG_360	62	2723060	13	79704	156196	0.48654	95.43	0.54	92.73	13x
High-quality	Rumen	ruminal_MAG_361	128	1972949	27	24010	72714	0.5186	98.77	1.34	92.07	10x
High-quality	Rumen	ruminal_MAG_362	259	2596508	63	14300	55399	0.50761	95.97	0.54	93.27	10x
High-quality	Rumen	ruminal_MAG_363	480	2878455	126	7193	27630	0.46179	88.49	1.01	83.44	7x
High-quality	Rumen	ruminal_MAG_364	43	2396579	9	82751	232045	0.45245	97.04	0	97.04	13x
